Nega1	Nega2	Neut1	Neut2	Nega1	Nega2	Neut1	Neut2
8	20	5	1	1	7	22	12
23	43	11	36	91	47	26	16
26	46	14	57	102	61	34	29
39	60	17	88	135	66	72	37
52	69	31	107	161	86	97	42
72	75	65	117	168	94	105	52
81	84	91	143	172	110	115	57
102	94	97	171	192	139	127	76
120	131	111	176	208	148	142	79
126	164	114	190	221	151	175	82
136	167	139	213	224	199	186	120
149	187	146	217	239	217	205	124
181	210	155	229	253	230	214	130
240	223	161	233	267	234	244	155
244	261	193	236	273	250	247	158
266	279	199		276	264	257	165
269	286	205		282	270	260	181
304	300	252		286	295		196
307		292		334	304		202
		296		353	308		227
		311		358	311		298
		325			314		325
		360			321		364
		366			331		367
